Player Name,Events,Points,# of Wins,# of Top 10,Year
Dustin Johnson,16,"2,717",3,10,2018
Justin Thomas,19,"2,634",3,8,2018
Brooks Koepka,13,"2,012",2,5,2018
Justin Rose,14,"1,991",2,8,2018
Bubba Watson,20,"1,879",3,5,2018
Jason Day,16,"1,771",2,5,2018
Webb Simpson,22,"1,710",1,7,2018
Francesco Molinari,17,"1,682",2,4,2018
Bryson DeChambeau,22,"1,617",1,7,2018
Patrick Reed,22,"1,555",1,7,2018
Phil Mickelson,20,"1,546",1,6,2018
Tony Finau,24,"1,509",,8,2018
Jon Rahm,16,"1,430",1,5,2018
Patrick Cantlay,19,"1,388",1,6,2018
Patton Kizzire,25,"1,386",2,4,2018
Paul Casey,16,"1,319",1,5,2018
Rickie Fowler,18,"1,302",,4,2018
Kyle Stanley,22,"1,198",,5,2018
Kevin Na,22,"1,183",1,4,2018
Tiger Woods,14,"1,162",,5,2018
Rory McIlroy,15,"1,154",1,5,2018
Marc Leishman,21,"1,148",,6,2018
Tommy Fleetwood,15,"1,130",,5,2018
Chesson Hadley,27,"1,122",,7,2018
Pat Perez,20,"1,116",1,4,2018
Andrew Landry,24,"1,116",1,5,2018
Aaron Wise,25,"1,086",1,3,2018
Xander Schauffele,23,"1,081",,5,2018
Luke List,26,"1,080",,5,2018
Brandt Snedeker,23,"1,077",1,4,2018
Austin Cook,26,"1,060",1,3,2018
Brian Harman,22,"1,056",,8,2018
Gary Woodland,23,"1,044",1,3,2018
Ian Poulter,17,"1,030",1,4,2018
Andrew Putnam,25,"1,026",1,5,2018
Chez Reavie,25,"1,020",,3,2018
Ryan Armour,29,"1,006",1,3,2018
Brendan Steele,19,998,1,3,2018
Alex Noren,15,989,,3,2018
Kevin Kisner,22,971,,4,2018
Billy Horschel,23,960,1,3,2018
Beau Hossler,25,957,,5,2018
Jordan Spieth,20,945,,5,2018
Byeong Hun An,21,913,,4,2018
Emiliano Grillo,22,901,,5,2018
Si Woo Kim,28,893,,5,2018
Charles Howell III,25,885,,4,2018
Brian Gay,27,880,,6,2018
Keegan Bradley,23,872,,4,2018
Henrik Stenson,14,868,,5,2018
J.J. Spaun,24,849,,4,2018
Zach Johnson,22,839,,2,2018
Cameron Smith,20,821,,5,2018
Scott Piercy,23,802,1,2,2018
Ryan Moore,20,795,,5,2018
Rafa Cabrera Bello,17,784,,4,2018
Whee Kim,28,764,,3,2018
Stewart Cink,23,758,,3,2018
Chris Kirk,26,756,,4,2018
"Ted Potter, Jr.",25,744,1,1,2018
Jimmy Walker,21,719,,4,2018
Jason Kokrak,26,700,,4,2018
C.T. Pan,27,693,,1,2018
Matt Kuchar,22,679,,4,2018
Joel Dahmen,26,676,,3,2018
Michael Kim,25,675,1,1,2018
Kevin Streelman,25,673,,5,2018
Keith Mitchell,26,659,,4,2018
J.B. Holmes,22,640,,3,2018
Adam Hadwin,22,638,,3,2018
Brice Garnett,27,634,1,2,2018
Kelly Kraft,29,627,,3,2018
Adam Scott,18,623,,2,2018
Louis Oosthuizen,14,620,,3,2018
Troy Merritt,25,616,1,3,2018
Hideki Matsuyama,17,607,,2,2018
Satoshi Kodaira,16,600,1,1,2018
Kevin Chappell,21,597,,4,2018
James Hahn,24,596,,1,2018
Tom Hoge,29,594,,3,2018
Peter Uihlein,23,593,,4,2018
Branden Grace,16,590,,2,2018
Abraham Ancer,27,589,,4,2018
Russell Knox,25,585,,3,2018
Kevin Tway,29,577,,3,2018
Jamie Lovemark,24,576,,3,2018
Ollie Schniederjans,25,573,,3,2018
Russell Henley,21,569,,3,2018
Daniel Berger,21,565,,1,2018
Jason Dufner,20,557,,2,2018
Anirban Lahiri,22,555,,4,2018
Tyrrell Hatton,13,550,,4,2018
Patrick Rodgers,30,541,,3,2018
Brandon Harkins,29,528,,3,2018
Trey Mullinax,23,528,,3,2018
Charl Schwartzel,19,528,,3,2018
Rory Sabbatini,26,521,,1,2018
Charley Hoffman,23,515,,,2018
Alex Cejka,23,502,,2,2018
Ryan Palmer,19,500,,2,2018
Richy Werenski,31,498,,2,2018
Nick Watney,24,491,,1,2018
Danny Lee,28,481,,3,2018
Sung Kang,28,480,,2,2018
John Huh,28,480,,2,2018
Harold Varner III,26,474,,3,2018
Scott Stallings,28,470,,2,2018
Tyler Duncan,30,457,,2,2018
William McGirt,25,449,,3,2018
J.T. Poston,21,448,,2,2018
Bronson Burgoon,22,446,,2,2018
Vaughn Taylor,24,445,,3,2018
Martin Laird,21,443,,3,2018
Sam Ryder,25,442,,3,2018
Grayson Murray,21,438,,2,2018
Ryan Blaum,27,433,,2,2018
Scott Brown,31,422,,2,2018
Brian Stuard,30,421,,3,2018
Nick Taylor,29,420,,2,2018
Sam Saunders,25,420,,4,2018
Sean O'Hair,21,417,,2,2018
Bud Cauley,17,405,,2,2018
Jhonattan Vegas,25,394,,1,2018
Harris English,30,383,,2,2018
Seamus Power,27,377,,2,2018
Martin Piller,28,371,,2,2018
Tyrone Van Aswegen,31,364,,1,2018
Sergio Garcia,15,362,,3,2018
Chad Campbell,28,361,,2,2018
Corey Conners,28,353,,1,2018
Robert Garrigus,27,353,,1,2018
Aaron Baddeley,27,342,,1,2018
Johnson Wagner,21,338,,,2018
Tom Lovelady,28,332,,2,2018
Lucas Glover,18,324,,1,2018
Ben Silverman,28,323,,2,2018
Derek Fathauer,28,316,,1,2018
David Hearn,21,315,,2,2018
Talor Gooch,27,308,,,2018
Shane Lowry,19,296,,,2018
Jim Furyk,15,291,,2,2018
Michael Thompson,19,280,,,2018
David Lingmerth,26,274,,,2018
Graeme McDowell,20,274,,1,2018
Steve Stricker,12,274,,,2018
Nicholas Lindheim,26,272,,1,2018
Shawn Stefani,25,268,,1,2018
Ben Crane,21,267,,1,2018
Denny McCarthy,22,267,,1,2018
Ben Martin,20,266,,1,2018
Matt Jones,23,264,,,2018
Bill Haas,25,262,,1,2018
Retief Goosen,20,261,,1,2018
Thomas Pieters,11,260,,1,2018
Chris Stroud,27,255,,1,2018
Hudson Swafford,22,245,,,2018
Adam Schenk,28,239,,1,2018
J.J. Henry,28,239,,1,2018
Hunter Mahan,21,234,,1,2018
Mackenzie Hughes,28,227,,1,2018
Peter Malnati,28,226,,,2018
Fabián Gómez,28,221,,,2018
Wesley Bryan,23,219,,,2018
Martin Flores,29,215,,,2018
Stephan Jaeger,26,211,,,2018
Blayne Barber,22,202,,,2018
Xinjun Zhang,28,195,,1,2018
Cameron Percy,16,191,,2,2018
Dominic Bozzelli,20,190,,,2018
Zac Blair,20,176,,,2018
Lanto Griffin,26,175,,,2018
Nate Lashley,17,168,,,2018
Jonas Blixt,23,167,,,2018
